crop_name,prediction,ground_truth,correct
DJI_20260418131852_0003_S_t00000_box0.jpg,TBJU4950882,TBJU4950882,True
DJI_20260418131852_0003_S_t00000_box1.jpg,TBJU6970527,TBJU6970527,True
DJI_20260418131852_0003_S_t00011_box0.jpg,TBJU5713838,TBJU5713838,True
DJI_20260418131852_0003_S_t00011_box1.jpg,TBJU0204154,TBCU0166455,False
DJI_20260418131852_0003_S_t00018_box0.jpg,TBJU3291357,TBJU3355118,False
DJI_20260418131852_0003_S_t00026_box0.jpg,TBJU0633832,TBJU0633832,True
DJI_20260418131852_0003_S_t00033_box0.jpg,TBJU0551689,TBJU0551689,True
DJI_20260418131852_0003_S_t00033_box1.jpg,TBJU6429240,TBJU6429240,True
DJI_20260418131852_0003_S_t00040_box0.jpg,TBCU0292725,TBCU0292725,True
DJI_20260418131852_0003_S_t00040_box1.jpg,TBJU50219740,TBJU3319759,False
DJI_20260418131852_0003_S_t00045_box0.jpg,TBJU1201319,TBJU1201319,True
DJI_20260418131852_0003_S_t00045_box1.jpg,TBJU1897953,TBJU1897953,True
DJI_20260418131852_0003_S_t00049_box0.jpg,TBJU5029466,TBJU5029466,True
DJI_20260418131852_0003_S_t00049_box1.jpg,TBJU1931370,TBJU1931370,True
DJI_20260418131852_0003_S_t00053_box0.jpg,TBJU5750050,TBJU5750050,True
DJI_20260418131852_0003_S_t00053_box1.jpg,TBJU6392136,TBJU6392136,True
DJI_20260418131852_0003_W_t00010_box0.jpg,TBJU5750050,TBJU5713838,False
DJI_20260418131852_0003_W_t00017_box0.jpg,TBJU3313759,TBJU3355118,False
DJI_20260418131852_0003_W_t00023_box0.jpg,TBJU3290357,TBJU3290357,True
DJI_20260418131852_0003_W_t00023_box1.jpg,TBJU6541689,TBJU6548764,False
DJI_20260418131852_0003_W_t00030_box0.jpg,TBJU1604931,TBJU1604931,True
DJI_20260418131852_0003_W_t00031_box0.jpg,TBJU0551689,TBJU0551689,True
DJI_20260418131852_0003_W_t00036_box0.jpg,TBJU09508587,TBJU0958587,False
DJI_20260418131852_0003_W_t00036_box1.jpg,TBJU6418987,TBJU6615800,False
DJI_20260418131852_0003_W_t00043_box0.jpg,TBJU8903718,TBJU8903718,True
DJI_20260418131852_0003_W_t00043_box1.jpg,TBJU1201319,TBJU1201319,True
DJI_20260418131852_0003_W_t00050_box0.jpg,TBJU5029370,TBJU5029466,False
DJI_20260418131852_0003_W_t00050_box1.jpg,TBJU1931370,TBJU1931370,True
DJI_20260418131852_0003_W_t00052_box0.jpg,TBJU1931370,TBJU1931370,True
DJI_20260418131852_0003_W_t00052_box1.jpg,TBJU5750050,TBJU5750050,True
DJI_20260418131852_0003_W_t00053_box0.jpg,TBJU5750050,TBJU5750050,True
DJI_20260418131852_0003_W_t00053_box1.jpg,TBJU6392136,TBJU6392136,True
DJI_20260418131852_0003_W_t00055_box0.jpg,TBJU6392136,TBJU6392136,True
DJI_20260418132211_0004_S_t00010_box0.jpg,TBJU6290457,TBCU0166455,False
DJI_20260418132211_0004_S_t00016_box0.jpg,TBJU1931370,TBJU3355118,False
DJI_20260418132211_0004_S_t00016_box1.jpg,TBJU5020057,TBJU5155511,False
DJI_20260418132211_0004_S_t00018_box0.jpg,TBJU5020466,TBJU5155510,False
DJI_20260418132211_0004_S_t00018_box1.jpg,TBJU5327809,TBJU5327809,True
DJI_20260418132211_0004_S_t00022_box0.jpg,TBJU69357,TBJU3290357,False
DJI_20260418132211_0004_S_t00023_box0.jpg,TBJU5029367,TBJU3290357,False
DJI_20260418132211_0004_W_t00000_box0.jpg,TBJU6908527,TBJU6970527,False
DJI_20260418132211_0004_W_t00000_box1.jpg,TBJU0633832,TBJU0633534,False
DJI_20260418132211_0004_W_t00009_box0.jpg,TBJU6483898,TBJU5113838,False
DJI_20260418132211_0004_W_t00009_box1.jpg,TBJU604957,TBCU0166455,False
DJI_20260418132211_0004_W_t00016_box0.jpg,TBJU1931370,TBJU3355118,False
DJI_20260418132211_0004_W_t00016_box1.jpg,TBJU5050657,TBJU5155511,False
DJI_20260418132211_0004_W_t00020_box0.jpg,TBJU65189,TBJU5327809,False
DJI_20260418132211_0004_W_t00024_box0.jpg,TBJU6548764,TBJU6548764,True
DJI_20260418132530_0005_S_t00004_box0.jpg,TBJU0694754,TBJU0633534,False
DJI_20260418132530_0005_S_t00004_box1.jpg,TBJU6439275,TBJU6439275,True
DJI_20260418132530_0005_S_t00010_box0.jpg,TBJU1807564,TBJU1807554,False
DJI_20260418132530_0005_S_t00010_box1.jpg,TBJU5713838,TBJU5713838,True
DJI_20260418132530_0005_S_t00010_box2.jpg,TBJU5750050,TBCU0166455,False
