epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8022,1.37216,2.16166,1.17125,0.68142,0.62076,0.63632,0.39998,1.18155,0.80008,0.94165,0.000331301,0.000331301,0.000331301
2,66.9275,1.10836,0.78992,0.98641,0.82101,0.67063,0.67817,0.41578,1.16863,0.75135,0.91291,0.000660248,0.000660248,0.000660248
3,97.9603,1.04776,0.70426,0.95979,0.78508,0.68598,0.71073,0.44151,1.05583,0.68039,0.88444,0.000984794,0.000984794,0.000984794
4,128.292,1.04685,0.66966,0.93884,0.85088,0.68648,0.72757,0.42221,1.16589,0.7045,0.88555,0.0009802,0.0009802,0.0009802
5,158.528,1.01473,0.62224,0.94407,0.78361,0.77344,0.76779,0.45824,1.09883,0.58679,0.89042,0.0009736,0.0009736,0.0009736
6,189.167,0.997,0.60358,0.92284,0.84392,0.7401,0.78052,0.465,1.15525,0.59197,0.86221,0.000967,0.000967,0.000967
7,220.674,0.9689,0.584,0.91128,0.85204,0.79014,0.81236,0.46162,1.17276,0.59857,0.86951,0.0009604,0.0009604,0.0009604
8,251.185,0.97088,0.56857,0.91537,0.81622,0.79588,0.80461,0.47039,1.10462,0.56742,0.86168,0.0009538,0.0009538,0.0009538
9,282.03,0.95442,0.56192,0.91349,0.82006,0.81705,0.8143,0.46814,1.17115,0.57626,0.86396,0.0009472,0.0009472,0.0009472
10,312.514,0.96181,0.56674,0.90396,0.83137,0.79718,0.79778,0.46002,1.08767,0.55141,0.86151,0.0009406,0.0009406,0.0009406
11,343.243,0.92812,0.54478,0.89656,0.85511,0.85186,0.83824,0.50253,1.02317,0.53604,0.83817,0.000934,0.000934,0.000934
12,374.61,0.93188,0.54158,0.89594,0.87095,0.79908,0.8276,0.48208,1.10704,0.51484,0.84994,0.0009274,0.0009274,0.0009274
13,405.489,0.92037,0.52777,0.88803,0.82571,0.84984,0.84496,0.49464,1.06478,0.53054,0.8354,0.0009208,0.0009208,0.0009208
14,436.217,0.89693,0.5144,0.87884,0.84076,0.83792,0.83238,0.48578,1.10681,0.52659,0.84939,0.0009142,0.0009142,0.0009142
15,466.933,0.90588,0.5134,0.89222,0.84723,0.83325,0.83938,0.49368,1.09421,0.51985,0.85732,0.0009076,0.0009076,0.0009076
16,497.8,0.9161,0.51694,0.88836,0.82125,0.80967,0.80386,0.48945,1.02264,0.52251,0.83684,0.000901,0.000901,0.000901
17,528.196,0.89803,0.50565,0.8888,0.84839,0.85067,0.83301,0.47293,1.09253,0.5232,0.84615,0.0008944,0.0008944,0.0008944
18,558.331,0.89652,0.51035,0.88798,0.88037,0.836,0.8558,0.5051,1.06327,0.51959,0.84678,0.0008878,0.0008878,0.0008878
19,589.339,0.90985,0.51911,0.88237,0.85137,0.84262,0.84013,0.49909,1.04764,0.52853,0.84168,0.0008812,0.0008812,0.0008812
20,620.279,0.89458,0.50585,0.88199,0.84832,0.83967,0.81647,0.4732,1.1182,0.53029,0.85677,0.0008746,0.0008746,0.0008746
21,650.927,0.88565,0.49128,0.88509,0.86907,0.85531,0.86137,0.50725,1.05409,0.51898,0.84384,0.000868,0.000868,0.000868
22,682.679,0.8789,0.4901,0.87816,0.91032,0.83667,0.85439,0.49551,1.08771,0.5059,0.83108,0.0008614,0.0008614,0.0008614
23,713.365,0.87035,0.47934,0.8788,0.84454,0.8662,0.84732,0.51198,1.07926,0.50366,0.83209,0.0008548,0.0008548,0.0008548
24,744.44,0.88826,0.49095,0.88147,0.86314,0.83679,0.84813,0.50175,1.05239,0.51712,0.82808,0.0008482,0.0008482,0.0008482
25,774.926,0.88794,0.49019,0.87626,0.88384,0.84636,0.85423,0.49666,1.1355,0.51568,0.83664,0.0008416,0.0008416,0.0008416
26,805.501,0.87314,0.48007,0.88098,0.89972,0.87971,0.89228,0.53038,1.02039,0.47512,0.82786,0.000835,0.000835,0.000835
27,836.15,0.86204,0.47628,0.87225,0.89015,0.84725,0.85093,0.49014,1.1001,0.48889,0.8353,0.0008284,0.0008284,0.0008284
28,866.786,0.87284,0.4753,0.87289,0.87366,0.85434,0.85673,0.50733,1.04351,0.49508,0.83801,0.0008218,0.0008218,0.0008218
29,897.259,0.85868,0.47082,0.87251,0.90389,0.85482,0.8716,0.49965,1.11378,0.50296,0.84349,0.0008152,0.0008152,0.0008152
30,927.831,0.86044,0.46894,0.86826,0.89663,0.87441,0.87647,0.51954,1.02715,0.48267,0.8347,0.0008086,0.0008086,0.0008086
